time,ax_measure,ax_ideal
5.93,0.17476794432262666,0.12837933456658257
5.931,0.07868752219789077,0.12960717507280445
5.932,0.11730583917663447,0.13083281106252875
5.933,0.18907596263663742,0.13205623843589684
5.934,0.13913964165123968,0.13327745311444336
5.9350000000000005,0.11885249710444719,0.13449645104109617
5.936,0.1274049138883489,0.135713228180186
5.937,0.14621641786130707,0.13692778051745574
5.938,0.11426534216167418,0.1381401040600585
5.939,0.1365504753064546,0.13935019483657196
5.94,0.11350304728602265,0.14055804889699663
5.941,0.2060099112425009,0.14176366231276355
5.942,0.11773159537126092,0.14296703117674295
5.9430000000000005,0.14006024379157297,0.14416815160324223
5.944,0.17251115414940454,0.14536701972801416
5.945,0.14092040373448134,0.14656363170826364
5.946,0.15794961108326513,0.1477579837226451
5.947,0.18180909085915115,0.14895007197127402
5.948,0.1447944797737328,0.15013989267572392
5.949,0.16531671237324858,0.15132744207903215
5.95,0.1778083806648434,0.15251271644570696
5.9510000000000005,0.140691939556283,0.15369571206172383
5.952,0.1449671239446871,0.1548764252345308
5.953,0.22050396525996974,0.1560548522930551
5.954,0.1400533438884548,0.15723098958769766
5.955,0.20140064008952777,0.15840483349034337
5.956,0.10745078738432895,0.15957638039435584
5.957,0.2329708835373052,0.1607456267145822
5.958,0.15540857751701212,0.1619125688873574
5.9590000000000005,0.19911901393044237,0.16307720337049947
5.96,0.23807714385208203,0.16423952664331348
5.961,0.17279147634184558,0.16539953520659514
5.962,0.1064997423821342,0.16655722558262478
5.963,0.184230975377671,0.16771259431517518
5.964,0.18685055924713034,0.16886563796950493
5.965,0.14956609248583555,0.17001635313236133
5.966,0.16106890692265666,0.17116473641198288
5.9670000000000005,0.1913169888710071,0.17231078443809325
5.968,0.2360246963814544,0.17345449386190262
5.969,0.2034282731638474,0.17459586135611066
5.97,0.14876657751788389,0.17573488361489775
5.971,0.1722963476026594,0.17687155735393184
5.972,0.1591364076747967,0.1780058793103596
5.973,0.16424913337385835,0.179137846242808
5.974,0.18940323564452463,0.18026745493138488
5.9750000000000005,0.211971266078833,0.18139470217767067
5.976,0.19021212344180166,0.18251958480471928
5.977,0.19426246328224542,0.1836420996570582
5.978,0.10505758915602156,0.18476224360067856
5.979,0.1959211422793844,0.18588001352304012
5.98,0.12385831965359911,0.1869954063330607
5.981,0.18095450584514133,0.1881084189611163
5.982,0.1933821093784475,0.18921904835903958
5.9830000000000005,0.20888457743942906,0.19032729150011035
5.984,0.17396456980830133,0.19143314537905415
5.985,0.18887112121969213,0.1925366070120415
5.986,0.2203254562176314,0.1936376734366752
5.987,0.2212066655583396,0.19473634171199453
5.988,0.18648583265212376,0.19583260891846327
5.989,0.21518775921149175,0.19692647215796633
5.99,0.16642311586694938,0.19801792855380876
5.9910000000000005,0.23231563254423554,0.19910697525070314
5.992,0.13875798481340096,0.20019360941476738
5.993,0.18744677461079123,0.20127782823352103
5.994,0.24728336336062087,0.20235962891587297
5.995,0.22861549895240876,0.20343900869212184
5.996,0.25927409265751167,0.20451596481394294
5.997,0.15122054701754037,0.20559049455438483
5.998,0.22522629389188903,0.20666259520786417
5.9990000000000006,0.21731369818779236,0.20773226409015355
6.0,0.20256222620710704,0.20879949853837618
6.001,0.23449720629276838,0.2098642959110016
6.002,0.166692362350253,0.2109266535878309
6.003,0.16726972908834845,0.21198656896999613
6.0040000000000004,0.23536076167032738,0.21304403947994566
6.005,0.2972265245154759,0.21409906256143793
6.006,0.20201556534725462,0.2151516356795365
6.007000000000001,0.21115835717812081,0.21620175632059452
6.008,0.25457461971082596,0.21724942199224936
6.009,0.21408939053870168,0.21829463022341505
6.01,0.2223080441944579,0.21933737856426755
6.011,0.2735293980075638,0.22037766458624117
6.0120000000000005,0.27844081936949994,0.22141548588201326
6.013,0.2381180427965152,0.22245084006549593
6.014,0.22321629859535363,0.22348372477182923
6.015000000000001,0.225769021235139,0.22451413765736475
6.016,0.2614835515356593,0.22554207639965815
6.017,0.1961529771290706,0.22656753869746002
6.018,0.20139697365811854,0.2275905222706997
6.019,0.19266285747049655,0.2286110248604798
6.0200000000000005,0.20901284839326725,0.22962904422905964
6.021,0.24860916897006463,0.23064457815984574
6.022,0.18359318432710392,0.23165762445738255
6.023,0.21428527880882386,0.23266818094733419
6.024,0.23461620944861972,0.2336762454764793
6.025,0.21522454815238076,0.2346818159126926
6.026,0.3127528772328394,0.23568489014493413
6.027,0.202693912417026,0.23668546608324006
6.0280000000000005,0.26642250847284865,0.23768354165870398
6.029,0.23212365192568132,0.23867911482346535
6.03,0.22600182745439734,0.23967218355070047
6.031,0.21469458086520568,0.240662745834601
6.032,0.22247950957070528,0.2416507996903684
6.033,0.22709886672330823,0.24263634315419338
6.034,0.31825041606427695,0.24361937428324343
6.035,0.2901193877093805,0.24459989115565292
6.0360000000000005,0.2767235623328857,0.2455778918705014
6.037,0.2463742194929012,0.24655337454780266
6.038,0.24676520922402836,0.2475263373284919
6.039,0.2555021716968008,0.24849677837440445
6.04,0.3099475701668834,0.24946469586826797
6.041,0.2413117562436669,0.2504300880136796
6.042,0.19257293262721656,0.2513929530350942
6.043,0.22676787627045408,0.25235328917781047
6.0440000000000005,0.2868427856033574,0.2533110947079493
6.045,0.22732985068965905,0.2542663679124412
6.046,0.2282667344467926,0.25521910709901113
6.047,0.30408335261349057,0.2561693105961563
6.048,0.27723262130697285,0.25711697675313694
6.049,0.2394436272176618,0.25806210393995205
6.05,0.283082157774418,0.25900469054732594
6.051,0.3290722292850277,0.25994473498669257
6.0520000000000005,0.2932379061184663,0.26088223569017355
6.053,0.26554979856934563,0.26181719111056206
6.054,0.27688476032622683,0.26274959972130835
6.055,0.2070143898650834,0.2636794600164958
6.056,0.24532665780042412,0.2646067705108279
6.057,0.27832472941357894,0.2655315297396062
6.058,0.26838763146395933,0.26645373625871216
6.059,0.25492574325868167,0.2673733886445919
6.0600000000000005,0.2861541458862401,0.2682904854942319
6.061,0.23896215078725028,0.26920502542514246
6.062,0.24774740928800046,0.27011700707534053
6.063,0.22765458594152693,0.27102642910332486
6.064,0.24090663043670374,0.2719332901880626
6.065,0.26381882789708855,0.2728375890289634
6.066,0.304600641992144,0.2737393243458624
6.067,0.29816272028123225,0.2746384948790021
6.0680000000000005,0.23409244219559025,0.2755350993890068
6.069,0.26480974999886864,0.2764291366568656
6.07,0.29490157220649027,0.2773206054839122
6.071,0.3181353239114883,0.2782095046917997
6.072,0.2272154327871707,0.27909583312248637
6.073,0.3103367750226033,0.27997958963820685
6.074,0.30491701726847514,0.28086077312145497
6.075,0.2853713789815941,0.28173938247496344
6.0760000000000005,0.2558912851464735,0.282615416621678
6.077,0.3182655409355785,0.2834888745047373
6.078,0.3584783994722272,0.28435975508745326
6.079,0.25207122914708535,0.2852280573532836
6.08,0.24534147799618672,0.28609378030581517
6.081,0.2991160366406682,0.28695692296873615
6.082,0.28767039448602344,0.28781748438581567
6.083,0.28963999735782286,0.2886754636208827
6.0840000000000005,0.2687390258043382,0.2895308597577992
6.085,0.3058989855256035,0.2903836719004375
6.086,0.338114140713214,0.2912338991726614
6.087,0.23074847395429043,0.29208154071829523
6.088,0.28053734725696494,0.292926595701107
6.089,0.31676051967395696,0.2937690633047792
6.09,0.3143671991659169,0.2946089427328866
6.091,0.2998612944173681,0.29544623320887453
6.0920000000000005,0.2704727907212579,0.2962809339760297
6.093,0.3244314854648307,0.29711304429745805
6.094,0.283922311642853,0.2979425634560621
6.095,0.26023447288275936,0.29876949075451104
6.096,0.2925360039092773,0.29959382551522074
6.097,0.28478093958373885,0.3004155670803247
6.098,0.2834651183517274,0.3012347148116501
6.099,0.2508556699500853,0.3020512680906937
6.1000000000000005,0.3194769615986111,0.3028652263185934
6.101,0.30425260764219864,0.3036765889161031
6.102,0.26764995024056937,0.30448535532356974
6.103,0.2871819154249768,0.3052915250009014
6.104,0.305477315225277,0.3060950974275472
6.105,0.3342138130833523,0.30689607210246556
6.106,0.31253184111699034,0.30769444854409983
6.107,0.2805558166487937,0.30849022629035333
6.1080000000000005,0.3012868317260797,0.3092834048985585
6.109,0.31259143730111383,0.31007398394545166
6.11,0.2839236835094896,0.31086196302714775
6.111,0.3214382637851423,0.31164734175910863
6.112,0.24676464819616334,0.3124301197761201
6.113,0.3115353258812835,0.3132102967322602
6.114,0.341715594729826,0.3139878723008729
6.115,0.33423936722354286,0.31476284617454264
6.1160000000000005,0.34346214521319557,0.31553521806506135
6.117,0.28121136079911535,0.3163049877034026
6.118,0.3157865410543413,0.31707215483969525
6.119,0.31965913053360445,0.31783671924318996
6.12,0.272746879697911,0.3185986807022362
6.121,0.29881370319653544,0.31935803902424736
6.122,0.2973613483739993,0.3201147940356756
6.123,0.29542344606230836,0.32086894558198314
6.1240000000000006,0.3157139104356263,0.3216204935276099
6.125,0.3042398788856224,0.3223694377559452
6.126,0.33569136200504524,0.3231157781693005
6.127,0.3229830589093591,0.32385951468887536
6.128,0.33904272107171646,0.3246006472547324
6.1290000000000004,0.32896631340367416,0.32533917582576244
6.13,0.27999836137226675,0.32607510037965665
6.131,0.3270698849885574,0.32680842091287826
6.132000000000001,0.28363175670573537,0.3275391374406278
6.133,0.3395431446214207,0.32826724999681456
6.134,0.33861380827058213,0.32899275863402816
6.135,0.35295524142010026,0.32971566342350234
6.136,0.35061522522995137,0.33043596445509005
6.1370000000000005,0.316258649464919,0.3311536618372269
6.138,0.33792012725875126,0.33186875569690255
6.139,0.3312192892606756,0.33258124617963053
6.140000000000001,0.35809516990951745,0.33329113344941336
6.141,0.33946543305584365,0.33399841768871247
6.142,0.31488149254484715,0.33470309909841833
6.143,0.33694537504890637,0.33540517789781393
6.144,0.3327381442792016,0.336104654324548
6.1450000000000005,0.30973547150457165,0.33680152863459817
6.146,0.3339746398585336,0.33749580110224053
6.147,0.33648476712363345,0.3381874720200191
6.148,0.3392634519021459,0.33887654169870857
6.149,0.3455106318739999,0.33956301046728643
6.15,0.26721529389276993,0.3402468786728966
6.151,0.3263374988841713,0.34092814668081733
6.152,0.33067227724002224,0.3416068148744302
6.1530000000000005,0.33041817074714125,0.3422828836551831
6.154,0.3691946902851956,0.3429563534425589
6.155,0.31887823220212186,0.34362722467404383
6.156,0.3356972783862504,0.3442954978050888
6.157,0.3852905030164122,0.34496117330908144
6.158,0.34776439914224705,0.3456242516773074
6.159,0.34469052199131606,0.34628473341891824
6.16,0.3934272158134308,0.34694261906089935
6.1610000000000005,0.30936432378087914,0.3475979091480315
6.162,0.33196663549631655,0.34825060424285886
6.163,0.3519021765735905,0.3489007049256559
6.164,0.36328181709309604,0.34954821179438866
6.165,0.337962250895508,0.3501931254646849
6.166,0.29626076631385617,0.3508354465697948
6.167,0.3572995701219918,0.35147517576055803
6.168,0.36229418380238093,0.35211231370537005
6.1690000000000005,0.3924287778132819,0.3527468610901438
6.17,0.3226531350540758,0.35337881861827586
6.171,0.33381352452237967,0.3540081870106125
6.172,0.4125727403270401,0.35463496700541053
6.173,0.33795623451383555,0.355259159358306
6.174,0.37405783549969246,0.35588076484227393
6.175,0.37445157524423534,0.35649978424759504
6.176,0.3515302357317138,0.35711621838182045
6.1770000000000005,0.3641398839708642,0.3577300680697329
6.178,0.3887392021804342,0.35834133415331165
6.179,0.3467878829629783,0.3589500174916979
6.18,0.349461839390667,0.3595561189611549
6.181,0.3418628654620126,0.36015963945503454
6.182,0.3835122894573782,0.3607605798837384
6.183,0.3876574447430495,0.3613589411746813
6.184,0.42657904967562527,0.3619547242722567
6.1850000000000005,0.30825321966675284,0.36254793013779624
6.186,0.39840519585917655,0.36313855974953374
6.187,0.39165922804768866,0.36372661410257046
6.188,0.31177879277245313,0.3643120942088333
6.189,0.3540262541507371,0.3648950010970419
6.19,0.38295707977701154,0.36547533581266717
6.191,0.30120229759152084,0.36605309941789554
